2023-05-21 15:00:12.579 [main] INFO  c.m.M.s.MedicalServiceApplication - Example log from MedicalServiceApplication
2023-05-21 16:24:37.701 [RMI TCP Connection(5)-172.19.32.1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:10}] to localhost:27017
2023-05-21 16:24:38.573 [http-nio-3000-exec-2] INFO  c.m.M.s.Implservices.UserService - start of UserService.addUser with user id ahmed12345678
2023-05-21 16:24:38.908 [http-nio-3000-exec-2] INFO  c.m.M.s.Implservices.UserService - end of UserService.addUser with user id 646a29a6562e46738535b259
2023-05-21 16:25:37.624 [main] INFO  c.m.M.s.MedicalServiceApplication - Example log from MedicalServiceApplication
2023-05-21 16:25:37.877 [restartedMain] INFO  c.m.M.s.MedicalServiceApplication - Example log from MedicalServiceApplication
2023-05-21 16:25:38.317 [restartedMain] INFO  c.m.M.s.MedicalServiceApplication - Starting MedicalServiceApplication using Java 17.0.3 on mohamed with PID 2760 (C:\Users\mohamed\Desktop\Medical-service\target\classes started by mohamed in C:\Users\mohamed\Desktop\Medical-service)
2023-05-21 16:25:38.319 [restartedMain] INFO  c.m.M.s.MedicalServiceApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-21 16:25:38.399 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-05-21 16:25:38.400 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-05-21 16:25:39.997 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2023-05-21 16:25:40.127 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 117 ms. Found 11 MongoDB repository interfaces.
2023-05-21 16:25:40.992 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 3000 (http)
2023-05-21 16:25:41.012 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-3000"]
2023-05-21 16:25:41.013 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-05-21 16:25:41.014 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
2023-05-21 16:25:41.143 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-21 16:25:41.143 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2742 ms
2023-05-21 16:25:41.913 [restartedMain] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.0"}, "os": {"type": "Windows", "name": "Windows 10", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Amazon.com Inc./17.0.3+6-LTS"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=null, streamFactoryFactory=null, commandListeners=[io.micrometer.core.instrument.binder.mongodb.MongoMetricsCommandListener@2b41d28b], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@1e6f690f]}, clusterSettings={hosts=[localhost:27017], srvServiceName=mongodb, mode=SINGLE, requiredClusterType=UNKNOWN, requiredReplicaSetName='null', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[io.micrometer.core.instrument.binder.mongodb.MongoMetricsConnectionPoolListener@64b6099], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=false, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null}
2023-05-21 16:25:41.923 [cluster-ClusterId{value='646a29e5d6720d03bc3cdbf9', description='null'}-localhost:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:11}] to localhost:27017
2023-05-21 16:25:41.924 [cluster-ClusterId{value='646a29e5d6720d03bc3cdbf9', description='null'}-localhost:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=30758000}
2023-05-21 16:25:41.988 [cluster-rtt-ClusterId{value='646a29e5d6720d03bc3cdbf9', description='null'}-localhost:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:12}] to localhost:27017
2023-05-21 16:25:42.414 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-05-21 16:25:43.367 [restartedMain] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2023-05-21 16:25:43.386 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@2edd92f4, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2d0543dc, org.springframework.security.web.context.SecurityContextPersistenceFilter@21d56e9e, org.springframework.security.web.header.HeaderWriterFilter@4205334c, org.springframework.web.filter.CorsFilter@4d81d7b6, org.springframework.security.web.authentication.logout.LogoutFilter@a1a6a9d, com.medicalsystem.Medical.service.security.AuthFilter@4b5216a7, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@187dc022, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@20d1eb97, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@460540bb, org.springframework.security.web.session.SessionManagementFilter@1746789b, org.springframework.security.web.access.ExceptionTranslationFilter@555c0f9f, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@2277b62b]
2023-05-21 16:25:43.695 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-3000"]
2023-05-21 16:25:43.718 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 3000 (http) with context path ''
2023-05-21 16:25:43.742 [restartedMain] INFO  c.m.M.s.MedicalServiceApplication - Started MedicalServiceApplication in 5.854 seconds (JVM running for 7.52)
2023-05-21 16:25:43.929 [RMI TCP Connection(5)-172.19.32.1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-05-21 16:25:43.929 [RMI TCP Connection(5)-172.19.32.1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-05-21 16:25:43.931 [RMI TCP Connection(5)-172.19.32.1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2023-05-21 16:25:43.978 [RMI TCP Connection(7)-172.19.32.1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:13}] to localhost:27017
2023-05-21 16:25:45.998 [http-nio-3000-exec-2] INFO  c.m.M.s.Implservices.UserService - start of UserService.addUser with user id ahmed123456789
2023-05-21 16:25:46.254 [http-nio-3000-exec-2] INFO  c.m.M.s.Implservices.UserService - end of UserService.addUser with user id 646a29ead6720d03bc3cdbfa
2023-05-21 16:31:02.918 [main] INFO  c.m.M.s.MedicalServiceApplication - Example log from MedicalServiceApplication
2023-05-21 16:31:03.307 [restartedMain] INFO  c.m.M.s.MedicalServiceApplication - Example log from MedicalServiceApplication
2023-05-21 16:31:03.912 [restartedMain] INFO  c.m.M.s.MedicalServiceApplication - Starting MedicalServiceApplication using Java 17.0.3 on mohamed with PID 19148 (C:\Users\mohamed\Desktop\Medical-service\target\classes started by mohamed in C:\Users\mohamed\Desktop\Medical-service)
2023-05-21 16:31:03.913 [restartedMain] INFO  c.m.M.s.MedicalServiceApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-21 16:31:04.008 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-05-21 16:31:04.008 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-05-21 16:31:05.718 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2023-05-21 16:31:05.849 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 116 ms. Found 11 MongoDB repository interfaces.
2023-05-21 16:31:06.515 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 3000 (http)
2023-05-21 16:31:06.541 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-3000"]
2023-05-21 16:31:06.543 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-05-21 16:31:06.543 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
2023-05-21 16:31:06.634 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-21 16:31:06.634 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2620 ms
2023-05-21 16:31:07.430 [restartedMain] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.0"}, "os": {"type": "Windows", "name": "Windows 10", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Amazon.com Inc./17.0.3+6-LTS"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=null, streamFactoryFactory=null, commandListeners=[io.micrometer.core.instrument.binder.mongodb.MongoMetricsCommandListener@1b6c76a0], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@60d227a6]}, clusterSettings={hosts=[localhost:27017], srvServiceName=mongodb, mode=SINGLE, requiredClusterType=UNKNOWN, requiredReplicaSetName='null', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[io.micrometer.core.instrument.binder.mongodb.MongoMetricsConnectionPoolListener@68cf84eb], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=false, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null}
2023-05-21 16:31:07.431 [cluster-rtt-ClusterId{value='646a2b2b6d8d9e27338afe1a', description='null'}-localhost:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:32}] to localhost:27017
2023-05-21 16:31:07.432 [cluster-ClusterId{value='646a2b2b6d8d9e27338afe1a', description='null'}-localhost:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:33}] to localhost:27017
2023-05-21 16:31:07.434 [cluster-ClusterId{value='646a2b2b6d8d9e27338afe1a', description='null'}-localhost:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=72922400}
2023-05-21 16:31:08.295 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-05-21 16:31:10.096 [restartedMain] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2023-05-21 16:31:10.127 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4f528591, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@9bcb637, org.springframework.security.web.context.SecurityContextPersistenceFilter@21202753, org.springframework.security.web.header.HeaderWriterFilter@2d439aaa, org.springframework.web.filter.CorsFilter@3225ef81, org.springframework.security.web.authentication.logout.LogoutFilter@41629cf8, com.medicalsystem.Medical.service.security.AuthFilter@25541d99, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1812fc24, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5fc422b7, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@34418054, org.springframework.security.web.session.SessionManagementFilter@4900f755, org.springframework.security.web.access.ExceptionTranslationFilter@20d1eb97, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@6cd585c2]
2023-05-21 16:31:10.809 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-3000"]
2023-05-21 16:31:10.852 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 3000 (http) with context path ''
2023-05-21 16:31:10.901 [restartedMain] INFO  c.m.M.s.MedicalServiceApplication - Started MedicalServiceApplication in 7.572 seconds (JVM running for 9.453)
2023-05-21 16:31:11.160 [RMI TCP Connection(12)-172.19.32.1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-05-21 16:31:11.160 [RMI TCP Connection(12)-172.19.32.1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-05-21 16:31:11.163 [RMI TCP Connection(12)-172.19.32.1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 3 ms
2023-05-21 16:31:11.218 [RMI TCP Connection(11)-172.19.32.1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:34}] to localhost:27017
2023-05-21 16:31:20.796 [http-nio-3000-exec-2] INFO  c.m.M.s.Implservices.UserService - start of UserService.addUser with user id ahmed12345678910
2023-05-21 16:31:21.084 [http-nio-3000-exec-2] INFO  c.m.M.s.Implservices.UserService - end of UserService.addUser with user id 646a2b396d8d9e27338afe1b
2023-05-21 16:32:40.510 [main] INFO  c.m.M.s.MedicalServiceApplication - Example log from MedicalServiceApplication
2023-05-21 16:32:40.755 [restartedMain] INFO  c.m.M.s.MedicalServiceApplication - Example log from MedicalServiceApplication
2023-05-21 16:32:41.326 [restartedMain] INFO  c.m.M.s.MedicalServiceApplication - Starting MedicalServiceApplication using Java 17.0.3 on mohamed with PID 19404 (C:\Users\mohamed\Desktop\Medical-service\target\classes started by mohamed in C:\Users\mohamed\Desktop\Medical-service)
2023-05-21 16:32:41.328 [restartedMain] INFO  c.m.M.s.MedicalServiceApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-21 16:32:41.399 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-05-21 16:32:41.400 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-05-21 16:32:43.271 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2023-05-21 16:32:43.384 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 100 ms. Found 11 MongoDB repository interfaces.
2023-05-21 16:32:44.079 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 3000 (http)
2023-05-21 16:32:44.092 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-3000"]
2023-05-21 16:32:44.093 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-05-21 16:32:44.093 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
2023-05-21 16:32:44.179 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-21 16:32:44.179 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2778 ms
2023-05-21 16:32:44.781 [restartedMain] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.0"}, "os": {"type": "Windows", "name": "Windows 10", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Amazon.com Inc./17.0.3+6-LTS"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=null, streamFactoryFactory=null, commandListeners=[io.micrometer.core.instrument.binder.mongodb.MongoMetricsCommandListener@30cddb9a], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@365cf056]}, clusterSettings={hosts=[localhost:27017], srvServiceName=mongodb, mode=SINGLE, requiredClusterType=UNKNOWN, requiredReplicaSetName='null', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[io.micrometer.core.instrument.binder.mongodb.MongoMetricsConnectionPoolListener@16ba545b], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=false, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null}
2023-05-21 16:32:44.794 [cluster-ClusterId{value='646a2b8cde15e54c103ad650', description='null'}-localhost:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:35}] to localhost:27017
2023-05-21 16:32:44.794 [cluster-rtt-ClusterId{value='646a2b8cde15e54c103ad650', description='null'}-localhost:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:36}] to localhost:27017
2023-05-21 16:32:44.795 [cluster-ClusterId{value='646a2b8cde15e54c103ad650', description='null'}-localhost:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=37698100}
2023-05-21 16:32:45.307 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-05-21 16:32:46.232 [restartedMain] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2023-05-21 16:32:46.255 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@10baf7c1, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1a4e3197, org.springframework.security.web.context.SecurityContextPersistenceFilter@1cb342b8, org.springframework.security.web.header.HeaderWriterFilter@61f71675, org.springframework.web.filter.CorsFilter@6df0ac56, org.springframework.security.web.authentication.logout.LogoutFilter@13f229e1, com.medicalsystem.Medical.service.security.AuthFilter@f2cb26a, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@46ad9685, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@380a02c1, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@29be35d7, org.springframework.security.web.session.SessionManagementFilter@26b5349d, org.springframework.security.web.access.ExceptionTranslationFilter@478c01f, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@7784d69c]
2023-05-21 16:32:46.573 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-3000"]
2023-05-21 16:32:46.599 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 3000 (http) with context path ''
2023-05-21 16:32:46.622 [restartedMain] INFO  c.m.M.s.MedicalServiceApplication - Started MedicalServiceApplication in 5.853 seconds (JVM running for 7.083)
2023-05-21 16:32:46.708 [RMI TCP Connection(2)-172.19.32.1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-05-21 16:32:46.708 [RMI TCP Connection(2)-172.19.32.1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-05-21 16:32:46.710 [RMI TCP Connection(2)-172.19.32.1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2023-05-21 16:32:46.776 [RMI TCP Connection(3)-172.19.32.1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:37}] to localhost:27017
2023-05-21 16:33:05.222 [http-nio-3000-exec-2] INFO  c.m.M.s.Implservices.UserService - start of UserService.addUser with user id ahmed12345678910
2023-05-21 16:33:05.486 [http-nio-3000-exec-2] INFO  c.m.M.s.Implservices.UserService - end of UserService.addUser with user id 646a2ba1de15e54c103ad651
2023-05-23 20:15:59.290 [main] INFO  c.m.M.s.MedicalServiceApplication - Example log from MedicalServiceApplication
2023-05-23 20:15:59.551 [restartedMain] INFO  c.m.M.s.MedicalServiceApplication - Example log from MedicalServiceApplication
2023-05-23 20:16:00.171 [restartedMain] INFO  c.m.M.s.MedicalServiceApplication - Starting MedicalServiceApplication using Java 17.0.3 on mohamed with PID 2544 (C:\Users\mohamed\Desktop\Medical-service\target\classes started by mohamed in C:\Users\mohamed\Desktop\Medical-service)
2023-05-23 20:16:00.172 [restartedMain] INFO  c.m.M.s.MedicalServiceApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-23 20:16:00.232 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-05-23 20:16:00.232 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-05-23 20:16:02.919 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2023-05-23 20:16:02.990 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 62 ms. Found 11 MongoDB repository interfaces.
2023-05-23 20:16:03.464 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 3000 (http)
2023-05-23 20:16:03.474 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-3000"]
2023-05-23 20:16:03.474 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-05-23 20:16:03.475 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
2023-05-23 20:16:03.606 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-23 20:16:03.606 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3373 ms
