2023-05-24 01:49:38.930 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.medicalsystem.Medical.service.MedicalServiceApplicationTests], using SpringBootContextLoader
2023-05-24 02:09:42.930 [main] INFO  o.s.b.t.a.d.m.DataMongoTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4426bff1, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3c7c886c, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@55493582, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@1a20270e, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6b88ca8c, org.springframework.test.context.support.DirtiesContextTestExecutionListener@336f1079, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2f16c6b3, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@34158c08, org.springframework.test.context.event.EventPublishingTestExecutionListener@19e4fcac, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@52c3cb31, org.springframework.security.test.context.support.ReactorContextTestExecutionListener@4b79ac84, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@53941c2f, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6dab9b6d, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@21fd5faa, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2766ca9d, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5460cf3a, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@65a15628]
2023-05-24 02:09:43.760 [main] INFO  c.m.M.s.dao.IUserRepositoryTest - Starting IUserRepositoryTest using Java 17.0.3 on mohamed with PID 11228 (started by mohamed in C:\Users\mohamed\Desktop\Medical-service)
2023-05-24 02:09:43.761 [main] INFO  c.m.M.s.dao.IUserRepositoryTest - No active profile set, falling back to 1 default profile: "default"
2023-05-24 02:09:44.353 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2023-05-24 02:09:44.536 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 164 ms. Found 11 MongoDB repository interfaces.
2023-05-24 02:09:45.107 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.0"}, "os": {"type": "Windows", "name": "Windows 10", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Amazon.com Inc./17.0.3+6-LTS"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=null, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@3c87e6b7]}, clusterSettings={hosts=[localhost:27017], srvServiceName=mongodb, mode=SINGLE, requiredClusterType=UNKNOWN, requiredReplicaSetName='null', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=false, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null}
2023-05-24 02:09:45.130 [cluster-ClusterId{value='646d55c91891b93c4e716a1d', description='null'}-localhost:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:16}] to localhost:27017
2023-05-24 02:09:45.130 [cluster-ClusterId{value='646d55c91891b93c4e716a1d', description='null'}-localhost:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=40220700}
2023-05-24 02:09:45.130 [cluster-rtt-ClusterId{value='646d55c91891b93c4e716a1d', description='null'}-localhost:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:15}] to localhost:27017
2023-05-24 02:09:46.069 [main] INFO  c.m.M.s.dao.IUserRepositoryTest - Started IUserRepositoryTest in 3.052 seconds (JVM running for 5.207)
2023-05-24 02:09:47.030 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:17}] to localhost:27017
2023-05-24 02:10:04.634 [main] INFO  o.s.b.t.a.d.m.DataMongoTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.medicalsystem.Medical.service.dao.IUserRepositoryTest], using SpringBootContextLoader
2023-05-24 02:10:04.644 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.medicalsystem.Medical.service.dao.IUserRepositoryTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2023-05-24 02:10:04.645 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.medicalsystem.Medical.service.dao.IUserRepositoryTest]: IUserRepositoryTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-05-24 02:10:04.893 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.medicalsystem.Medical.service.MedicalServiceApplication for test class com.medicalsystem.Medical.service.dao.IUserRepositoryTest
2023-05-24 02:10:04.898 [main] INFO  o.s.b.t.a.d.m.DataMongoTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener, org.springframework.security.test.context.support.ReactorContextTestExecutionListener]
2023-05-24 02:10:04.931 [main] INFO  o.s.b.t.a.d.m.DataMongoTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@34158c08, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@19e4fcac, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@52c3cb31, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@4b79ac84, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@53941c2f, org.springframework.test.context.support.DirtiesContextTestExecutionListener@6dab9b6d, org.springframework.test.context.transaction.TransactionalTestExecutionListener@21fd5faa, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2766ca9d, org.springframework.test.context.event.EventPublishingTestExecutionListener@5460cf3a, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@65a15628, org.springframework.security.test.context.support.ReactorContextTestExecutionListener@2e6a5539, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3fc9504b, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6d025197, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@27d4a09, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@7e4204e2, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@b7c4869, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@740d2e78]
2023-05-24 02:10:05.965 [main] INFO  c.m.M.s.dao.IUserRepositoryTest - Starting IUserRepositoryTest using Java 17.0.3 on mohamed with PID 732 (started by mohamed in C:\Users\mohamed\Desktop\Medical-service)
2023-05-24 02:10:05.968 [main] INFO  c.m.M.s.dao.IUserRepositoryTest - No active profile set, falling back to 1 default profile: "default"
2023-05-24 02:10:06.710 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2023-05-24 02:10:06.949 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 222 ms. Found 11 MongoDB repository interfaces.
2023-05-24 02:10:07.524 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.0"}, "os": {"type": "Windows", "name": "Windows 10", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Amazon.com Inc./17.0.3+6-LTS"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=null, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@6f94a5a5]}, clusterSettings={hosts=[localhost:27017], srvServiceName=mongodb, mode=SINGLE, requiredClusterType=UNKNOWN, requiredReplicaSetName='null', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=false, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null}
2023-05-24 02:10:07.553 [cluster-ClusterId{value='646d55df6da8a83a41551cec', description='null'}-localhost:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:18}] to localhost:27017
2023-05-24 02:10:07.553 [cluster-rtt-ClusterId{value='646d55df6da8a83a41551cec', description='null'}-localhost:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:19}] to localhost:27017
2023-05-24 02:10:07.554 [cluster-ClusterId{value='646d55df6da8a83a41551cec', description='null'}-localhost:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=50087700}
2023-05-24 02:10:08.426 [main] INFO  c.m.M.s.dao.IUserRepositoryTest - Started IUserRepositoryTest in 3.382 seconds (JVM running for 5.172)
2023-05-24 02:10:09.243 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:20}] to localhost:27017
2023-05-24 02:33:43.707 [main] INFO  o.s.b.t.a.d.m.DataMongoTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.medicalsystem.Medical.service.dao.IUserRepositoryTest], using SpringBootContextLoader
2023-05-24 02:33:43.717 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.medicalsystem.Medical.service.dao.IUserRepositoryTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2023-05-24 02:33:43.718 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.medicalsystem.Medical.service.dao.IUserRepositoryTest]: IUserRepositoryTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-05-24 02:33:44.007 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.medicalsystem.Medical.service.MedicalServiceApplication for test class com.medicalsystem.Medical.service.dao.IUserRepositoryTest
2023-05-24 02:33:44.018 [main] INFO  o.s.b.t.a.d.m.DataMongoTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener, org.springframework.security.test.context.support.ReactorContextTestExecutionListener]
2023-05-24 02:33:44.093 [main] INFO  o.s.b.t.a.d.m.DataMongoTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4426bff1, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3c7c886c, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@55493582, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@1a20270e, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6b88ca8c, org.springframework.test.context.support.DirtiesContextTestExecutionListener@336f1079, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2f16c6b3, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@34158c08, org.springframework.test.context.event.EventPublishingTestExecutionListener@19e4fcac, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@52c3cb31, org.springframework.security.test.context.support.ReactorContextTestExecutionListener@4b79ac84, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@53941c2f, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6dab9b6d, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@21fd5faa, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2766ca9d, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5460cf3a, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@65a15628]
2023-05-24 02:33:45.089 [main] INFO  c.m.M.s.dao.IUserRepositoryTest - Starting IUserRepositoryTest using Java 17.0.3 on mohamed with PID 13336 (started by mohamed in C:\Users\mohamed\Desktop\Medical-service)
2023-05-24 02:33:45.091 [main] INFO  c.m.M.s.dao.IUserRepositoryTest - No active profile set, falling back to 1 default profile: "default"
2023-05-24 02:33:45.673 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2023-05-24 02:33:45.821 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 139 ms. Found 11 MongoDB repository interfaces.
2023-05-24 02:33:46.349 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.0"}, "os": {"type": "Windows", "name": "Windows 10", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Amazon.com Inc./17.0.3+6-LTS"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=null, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@3c87e6b7]}, clusterSettings={hosts=[localhost:27017], srvServiceName=mongodb, mode=SINGLE, requiredClusterType=UNKNOWN, requiredReplicaSetName='null', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=false, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null}
2023-05-24 02:33:46.371 [cluster-rtt-ClusterId{value='646d5b6a8591e44078dd69b6', description='null'}-localhost:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:21}] to localhost:27017
2023-05-24 02:33:46.371 [cluster-ClusterId{value='646d5b6a8591e44078dd69b6', description='null'}-localhost:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:22}] to localhost:27017
2023-05-24 02:33:46.371 [cluster-ClusterId{value='646d5b6a8591e44078dd69b6', description='null'}-localhost:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=33313700}
2023-05-24 02:33:47.184 [main] INFO  c.m.M.s.dao.IUserRepositoryTest - Started IUserRepositoryTest in 2.97 seconds (JVM running for 4.964)
2023-05-24 02:33:47.849 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:23}] to localhost:27017
2023-05-24 02:34:19.507 [main] INFO  o.s.b.t.a.d.m.DataMongoTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.medicalsystem.Medical.service.dao.IUserRepositoryTest], using SpringBootContextLoader
2023-05-24 02:34:19.515 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.medicalsystem.Medical.service.dao.IUserRepositoryTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2023-05-24 02:34:19.516 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.medicalsystem.Medical.service.dao.IUserRepositoryTest]: IUserRepositoryTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-05-24 02:34:19.761 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.medicalsystem.Medical.service.MedicalServiceApplication for test class com.medicalsystem.Medical.service.dao.IUserRepositoryTest
2023-05-24 02:34:19.767 [main] INFO  o.s.b.t.a.d.m.DataMongoTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener, org.springframework.security.test.context.support.ReactorContextTestExecutionListener]
2023-05-24 02:34:19.817 [main] INFO  o.s.b.t.a.d.m.DataMongoTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4426bff1, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3c7c886c, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@55493582, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@1a20270e, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6b88ca8c, org.springframework.test.context.support.DirtiesContextTestExecutionListener@336f1079, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2f16c6b3, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@34158c08, org.springframework.test.context.event.EventPublishingTestExecutionListener@19e4fcac, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@52c3cb31, org.springframework.security.test.context.support.ReactorContextTestExecutionListener@4b79ac84, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@53941c2f, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6dab9b6d, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@21fd5faa, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2766ca9d, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5460cf3a, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@65a15628]
2023-05-24 02:34:20.830 [main] INFO  c.m.M.s.dao.IUserRepositoryTest - Starting IUserRepositoryTest using Java 17.0.3 on mohamed with PID 8924 (started by mohamed in C:\Users\mohamed\Desktop\Medical-service)
2023-05-24 02:34:20.833 [main] INFO  c.m.M.s.dao.IUserRepositoryTest - No active profile set, falling back to 1 default profile: "default"
2023-05-24 02:34:21.739 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2023-05-24 02:34:21.992 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 240 ms. Found 11 MongoDB repository interfaces.
2023-05-24 02:34:22.632 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.0"}, "os": {"type": "Windows", "name": "Windows 10", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Amazon.com Inc./17.0.3+6-LTS"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=null, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@a451491]}, clusterSettings={hosts=[localhost:27017], srvServiceName=mongodb, mode=SINGLE, requiredClusterType=UNKNOWN, requiredReplicaSetName='null', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=false, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null}
2023-05-24 02:34:22.662 [cluster-ClusterId{value='646d5b8ee225a340e4ece03f', description='null'}-localhost:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:25}] to localhost:27017
2023-05-24 02:34:22.662 [cluster-rtt-ClusterId{value='646d5b8ee225a340e4ece03f', description='null'}-localhost:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:24}] to localhost:27017
